#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
1,A.J. Alexy,669935,669935,22343,11175,CHW,RP,RP
2,A.J. Cole,595918,11467,11467,,FA,RP,RP
3,A.J. Minter,621345,621345,18655,9734,ATL,RP,RP
4,A.J. Puckett,643494,643494,sa738686,,SEA,RP,RP
5,A.J. Puk,640462,640462,19343,9792,MIA,RP,RP
6,A.J. Ramos,573109,8350,8350,,FA,RP,RP
7,A.J. Vukovich,691021,691021,sa3014525,,ARI,3B,3B
8,Aaron Antonini,689577,689577,sa3010906,,STL,C,C
9,Aaron Ashby,676879,676879,23550,10372,MIL,SP,SP
10,Aaron Barrett,502578,11243,11243,8734,FA,RP,RP
11,Aaron Blair,594760,14934,14934,,FA,SP,SP
12,Aaron Bracho,677570,677570,sa3010018,10117,CLE,2B,2B
13,Aaron Brooks,605156,12272,12272,8752,SD,RP,RP
14,Aaron Brown,676345,676345,sa3017500,,HOU,SP,SP
15,Aaron Bummer,607481,607481,16258,9713,CHW,RP,RP
16,Aaron Civale,650644,650644,19479,10640,CLE,SP,SP
17,Aaron Cohn,703110,703110,sa3017210,,OAK,RP,RP
18,Aaron Davenport,702126,702126,sa3017615,,CLE,SP,SP
19,Aaron Fletcher,667465,667465,22052,10872,SF,RP,RP
20,Aaron Fossas,670579,670579,,10548,CIN,RP,RP
21,Aaron Haase,700412,700412,sa3017849,,DET,RP,RP
22,Aaron Hernandez,669443,669443,sa3008599,,LAA,SP,SP
23,Aaron Hicks,543305,5297,5297,7535,BAL,OF,OF
24,Aaron Holiday,701569,701569,sa3017937,,SD,RP,RP
25,Aaron Judge,592450,15640,15640,8956,NYY,OF,OF
26,Aaron Leasher,669468,669468,sa3004701,,SD,SP,SP
27,Aaron Loup,571901,10343,10343,8339,LAA,RP,RP
28,Aaron McGarity,641849,641849,sa873280,,NYY,RP,RP
29,Aaron McKeithan,702463,702463,sa3016977,,STL,C,C
30,Aaron Nola,605400,16149,16149,8961,PHI,SP,SP
31,Aaron Northcraft,573062,573062,10218,,FA,RP,RP
32,Aaron Ochsenbein,684604,684604,sa3011241,,LAD,RP,RP
33,Aaron Palensky,695312,695312,sa3015077,,NYY,OF,OF
34,Aaron Perry,676215,676215,sa1055363,,BOS,RP,RP
35,Aaron Pinto,681259,681259,sa3006823,,FA,RP,RP
36,Aaron Sabato,693306,693306,sa3014494,,MIN,1B,1B
37,Aaron Sanchez,592717,11490,11490,8719,MIN,RP,RP
38,Aaron Schunk,668845,668845,sa3009957,11079,COL,3B,3B
39,Aaron Shackelford,687823,687823,sa1169950,,PIT,3B,3B
40,Aaron Shortridge,663336,663336,sa3006759,10912,PIT,SP,SP
41,Aaron Slegers,642083,642083,15231,,FA,RP,RP
42,Aaron Whitefield,664334,664334,19938,11067,FA,OF,OF
43,Aaron Zavala,701648,701648,sa3017665,,TEX,OF,OF
44,Abdias De La Cruz,703192,703192,sa3019401,,ARI,SS,SS
45,Abdiel Layer,676075,676075,sa3007291,,SF,SS,SS
