,#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
0,1,A.J. Alexy,669935,669935,22343,11175.0,CHW,RP,RP
2,3,A.J. Minter,621345,621345,18655,9734.0,ATL,RP,RP
4,5,A.J. Puk,640462,640462,19343,9792.0,MIA,RP,RP
8,9,Aaron Ashby,676879,676879,23550,10372.0,MIL,SP,SP
9,10,Aaron Barrett,502578,11243,11243,8734.0,FA,RP,RP
11,12,Aaron Bracho,677570,677570,sa3010018,10117.0,CLE,2B,2B
12,13,Aaron Brooks,605156,12272,12272,8752.0,SD,RP,RP
14,15,Aaron Bummer,607481,607481,16258,9713.0,CHW,RP,RP
15,16,Aaron Civale,650644,650644,19479,10640.0,TB,SP,SP
18,19,Aaron Fletcher,667465,667465,22052,10872.0,SF,RP,RP
19,20,Aaron Fossas,670579,670579,,10548.0,CIN,RP,RP
22,23,Aaron Hicks,543305,5297,5297,7535.0,BAL,OF,OF
24,25,Aaron Judge,592450,15640,15640,8956.0,NYY,OF,OF
26,27,Aaron Loup,571901,10343,10343,8339.0,LAA,RP,RP
29,30,Aaron Nola,605400,16149,16149,8961.0,PHI,SP,SP
36,37,Aaron Sanchez,592717,11490,11490,8719.0,ARI,RP,RP
37,38,Aaron Schunk,668845,668845,sa3009957,11079.0,COL,3B,3B
39,40,Aaron Shortridge,663336,663336,sa3006759,10912.0,PIT,SP,SP
41,42,Aaron Whitefield,664334,664334,19938,11067.0,FA,OF,OF
54,55,Abner Uribe,682842,682842,25327,11664.0,MIL,RP,RP
57,58,Abraham Toro,647351,647351,19844,10001.0,MIL,2B/3B,2B/3B
58,59,Abrahan Gutierrez,670868,670868,sa3004263,10373.0,PIT,C,C
62,63,Adalberto Mondesi,609275,13769,13769,8665.0,BOS,SS,SS
63,64,Adam Cimber,643256,643256,15288,10016.0,TOR,RP,RP
66,67,Adam Duvall,594807,10950,10950,8829.0,BOS,OF,OF
68,69,Adam Engel,641553,15082,15082,9572.0,SEA,OF,OF
69,70,Adam Frazier,624428,15223,15223,9387.0,BAL,2B/OF,2B/OF
71,72,Adam Hall,647228,647228,sa3005077,10118.0,BAL,SS,SS
72,73,Adam Haseley,656514,656514,19878,10119.0,CHW,OF,OF
75,76,Adam Kloffenstein,680572,680572,sa3008578,10120.0,STL,SP,SP
76,77,Adam Kolarek,592473,592473,10843,9699.0,NYM,RP,RP
84,85,Adam Oller,670124,670124,20132,11306.0,SEA,RP,RP
85,86,Adam Ottavino,493603,1247,1247,7037.0,NYM,RP,RP
92,93,Adam Wainwright,425794,2233,2233,4105.0,STL,SP,SP
99,100,Adbert Alzolay,640470,640470,17859,9886.0,CHC,RP,RP
100,101,Addison Barger,680718,680718,sa3006910,11596.0,TOR,SS,SS
101,102,Addison Russ,676754,676754,sa3004106,11022.0,FA,RP,RP
107,108,Adley Rutschman,668939,668939,26288,10704.0,BAL,C,C
108,109,Adolis Garcia,666969,666969,19287,9964.0,TEX,OF,OF
114,115,Adrian De Horta,641506,641506,sa737857,10609.0,TB,SP,SP
121,122,Adrian Hernandez,677600,677600,sa3005487,10122.0,NYM,OF,OF
122,123,Adrian Houser,605288,12718,12718,9175.0,MIL,SP,SP
124,125,Adrian Martinez,661309,661309,21023,11320.0,OAK,RP,RP
